,Mean Daily Return,Volatility (Std Dev),Annualized Volatility,Max Daily Gain,Max Daily Loss,Sharpe Ratio,Data Points
ICICIBANK.BSE,0.0007143105440215972,0.02643679950708844,0.4196711817373858,0.23013317085908236,-0.798198661636347,0.42892212981658473,5000.0
GRASIM.BSE,0.0006018129298581031,0.022473160386351092,0.35675036133571936,0.13789310595829107,-0.7955849270343842,0.4251063902399963,4998.0
CIPLA.BSE,0.0005364256076796813,0.01971953499606027,0.3130379134164632,0.12962962962962954,-0.6056124383769435,0.4318302906505714,5001.0
DIVISLAB.BSE,0.0009937767645891475,0.023057954002766164,0.36603367219971367,0.16780532691313832,-0.49692919075144515,0.6841767949147196,4998.0
ADANIENT.BSE,0.0017156975271693537,0.03299068377951077,0.5237108691753477,0.27406473308112655,-0.4922174985863996,0.825561969961553,4998.0
HDFCBANK.BSE,0.0006168277626107618,0.02224087372044156,0.3530629248304815,0.16391643806710277,-0.7988988929302566,0.4402631521067943,5001.0
