,Mean Daily Return,Volatility (Std Dev)
ICICIBANK.NS,,
GRASIM.NS,,
CIPLA.NS,,
DIVISLAB.NS,,
ADANIENT.NS,,
ADANIENSOL.NS,,
HDFCBANK.NS,,
